category,elasticity,r_squared,p_value,months
watches_gifts,-3.012479879923786,0.8710376988439665,6.811056297376052e-10,21
garden_tools,-2.799815958445244,0.730494705550143,8.092506275663685e-07,21
electronics,-2.438647019665149,0.29749752269337115,0.010547375057900384,21
stationery,-2.356761548517735,0.2188656339138738,0.03751366976846967,20
office_furniture,-2.006202842400266,0.10340452186910865,0.15518640527935088,21
sports_leisure,-1.9729274214899446,0.0386805383591412,0.3928416728002176,21
construction_tools_lights,-1.956966102710131,0.3906478802725587,0.016848031207887883,14
toys,-1.7820369424422704,0.13083859337746884,0.10713699860436565,21
auto,-1.56887494902292,0.08709523722641688,0.19403009541864763,21
perfumery,-1.5585770269871821,0.39299267257763126,0.0023560249448705576,21
computers,-1.5232972035139052,0.44190088607918987,0.013180363417562879,13
home_confort,-1.4999381931966291,0.11834296015081058,0.14925756695249645,19
cds_dvds_musicals,-1.4589152897497741,0.16674489903622713,0.42152850648177614,6
housewares,-1.2170382037293417,0.06462685871987117,0.26612409361947403,21
drinks,-1.1555683541875679,0.06793511662395546,0.31229923745079236,17
consoles_games,-1.1107846665407937,0.5834928204477171,5.577983985622455e-05,21
books_technical,-1.110055225079665,0.21675841138495167,0.04455222662097811,19
food,-0.9008193533726494,0.10764685092141402,0.14649871170548093,21
diapers_and_hygiene,-0.7279125182885124,0.5085747473368027,0.02059495368929653,10
air_conditioning,-0.6994374898697875,0.09359931829062862,0.17741683624951068,21
cool_stuff,-0.6518505696892971,0.008417488231456716,0.692453046154679,21
books_general_interest,-0.5885005474235367,0.0726564688858431,0.25044485795819427,20
costruction_tools_tools,-0.5540553063421784,0.345521549446255,0.027058627501194484,14
furniture_mattress_and_upholstery,-0.46167021466553376,0.04327120867825729,0.5393601899052988,11
fashion_male_clothing,-0.4552254277946217,0.05569578421158916,0.31648534739695283,20
industry_commerce_and_business,-0.44918844579917927,0.03412726840869107,0.4489721207367549,19
costruction_tools_garden,-0.40904581089510383,0.08990373883268787,0.2267229280398724,18
fashion_childrens_clothes,-0.36688737706795255,0.38595344999688896,0.188009804892729,6
furniture_bedroom,-0.32979750870794405,0.12737848605725444,0.13361591988630606,19
signaling_and_security,-0.30539356738479156,0.02389177047448643,0.5402714450987444,18
pet_shop,-0.2972722913181868,0.0072819863986653965,0.7130382545248993,21
small_appliances,-0.2962774267029516,0.08558357927916993,0.21068952413707684,20
books_imported,-0.23846498375637165,0.05956642627895525,0.4004131068459335,14
musical_instruments,-0.23809914703946805,0.00444318016592582,0.7800791925123918,20
christmas_supplies,-0.1943717644876961,0.006362313440793854,0.7690306758898185,16
fixed_telephony,-0.1227670107107989,0.06835672849269514,0.25228892217174276,21
cine_photo,0.006530354601481214,8.999043541679796e-06,0.9915343733526757,15
agro_industry_and_commerce,0.011608294211564146,0.000196458118405074,0.9545845915479632,19
home_appliances,0.012394273206959489,5.111754747288977e-05,0.9768254658394757,19
la_cuisine,0.015303070428568249,0.0004951175316405543,0.9546888517968025,9
art,0.022196451692891972,0.00021219075207157267,0.9542525564863057,18
dvds_blu_ray,0.048329036291411095,0.006055556661320627,0.7443509769573222,20
home_construction,0.050494333664280466,0.0003065168691662734,0.9432878682720391,19
fashion_sport,0.09704203846809423,0.0023952870620810307,0.8680407580839912,14
home_comfort_2,0.10051092547712243,0.012656029804591795,0.7017886966975366,14
furniture_living_room,0.12410509484905052,0.003369343129843383,0.8079438807604945,20
party_supplies,0.12463969175009838,0.024702325392959912,0.6256745158451936,12
music,0.22038465494047438,0.1496849098633375,0.1717557818008731,14
market_place,0.28080673177653753,0.043505517223698,0.3642266567881212,21
pc_gamer,0.3322125688817116,0.06250000000000033,0.6328124999999969,6
fashion_underwear_beach,0.34513751683303046,0.11827935411576318,0.13761239012464963,20
flowers,0.34713991409127054,0.036961836547713456,0.620206012312366,9
construction_tools_safety,0.37270659404030104,0.11801057027719608,0.2291501789033462,14
small_appliances_home_oven_and_coffee,0.3992281815986089,0.18905697729852544,0.18140049047114215,11
fashio_female_clothing,0.4312892588646182,0.12989344833044147,0.17028037939959514,16
arts_and_craftmanship,0.4318212246832716,0.09798118213490215,0.54580581883335,6
audio,0.6380675069028978,0.17014808678463555,0.07070117359148062,20
home_appliances_2,0.7751704936932964,0.5499384646572089,0.00018247095339574555,20
tablets_printing_image,0.8184758086091309,0.12922315670169915,0.156436036974281,17
fashion_shoes,0.839398515554519,0.18000869716951062,0.05525033120934723,21
food_drink,0.8892192320426598,0.43813830389509023,0.0027684190416365708,18
telephony,1.010150740867811,0.22065072152187926,0.031670590487356994,21
furniture_decor,1.015262736153089,0.047161659120619315,0.3443529064078262,21
luggage_accessories,1.2455393523985574,0.15525552134043585,0.0856120143643128,20
unknown,1.2533688294499221,0.2704390775207527,0.01566995592662425,21
baby,1.28318005497208,0.1562530656854304,0.07613452274203249,21
kitchen_dining_laundry_garden_furniture,1.3126640988685838,0.4040121625837204,0.0025960222512259414,20
computers_accessories,1.5577440956238608,0.11048216632630625,0.14097715496958038,21
fashion_bags_accessories,2.263573566692244,0.7823137130867607,4.701913133930065e-08,22
construction_tools_construction,2.3440240394210408,0.41983453316226704,0.0036394040736886088,18
health_beauty,3.929839488518358,0.6137259502889446,1.619051470264644e-05,22
bed_bath_table,6.54094699103772,0.5016954017286557,0.00032668748470113875,21
