category,elasticity,r_squared,p_value,months
watches_gifts,-3.012479879923786,0.8710376988439665,6.811056297376052e-10,21
garden_tools,-2.799815958445244,0.730494705550143,8.092506275663685e-07,21
electronics,-2.438647019665149,0.2974975226933711,0.0105473750579003,21
stationery,-2.356761548517735,0.2188656339138738,0.0375136697684696,20
office_furniture,-2.006202842400266,0.1034045218691086,0.1551864052793508,21
sports_leisure,-1.9729274214899448,0.0386805383591412,0.3928416728002176,21
construction_tools_lights,-1.956966102710131,0.3906478802725587,0.0168480312078878,14
toys,-1.7820369424422704,0.1308385933774688,0.1071369986043656,21
auto,-1.56887494902292,0.0870952372264168,0.1940300954186476,21
perfumery,-1.558577026987182,0.3929926725776312,0.0023560249448705,21
computers,-1.5232972035139052,0.4419008860791898,0.0131803634175628,13
home_confort,-1.4999381931966291,0.1183429601508105,0.1492575669524964,19
cds_dvds_musicals,-1.458915289749774,0.1667448990362271,0.4215285064817761,6
housewares,-1.2170382037293417,0.0646268587198711,0.266124093619474,21
drinks,-1.155568354187568,0.0679351166239554,0.3122992374507923,17
consoles_games,-1.1107846665407937,0.5834928204477171,5.577983985622455e-05,21
books_technical,-1.110055225079665,0.2167584113849516,0.0445522266209781,19
food,-0.9008193533726494,0.107646850921414,0.1464987117054809,21
diapers_and_hygiene,-0.7279125182885124,0.5085747473368027,0.0205949536892965,10
air_conditioning,-0.6994374898697875,0.0935993182906286,0.1774168362495106,21
cool_stuff,-0.6518505696892971,0.0084174882314567,0.692453046154679,21
books_general_interest,-0.5885005474235367,0.0726564688858431,0.2504448579581942,20
costruction_tools_tools,-0.5540553063421784,0.345521549446255,0.0270586275011944,14
furniture_mattress_and_upholstery,-0.4616702146655337,0.0432712086782572,0.5393601899052988,11
fashion_male_clothing,-0.4552254277946217,0.0556957842115891,0.3164853473969528,20
industry_commerce_and_business,-0.4491884457991792,0.034127268408691,0.4489721207367549,19
costruction_tools_garden,-0.4090458108951038,0.0899037388326878,0.2267229280398724,18
fashion_childrens_clothes,-0.3668873770679525,0.3859534499968889,0.188009804892729,6
furniture_bedroom,-0.329797508707944,0.1273784860572544,0.133615919886306,19
signaling_and_security,-0.3053935673847915,0.0238917704744864,0.5402714450987444,18
pet_shop,-0.2972722913181868,0.0072819863986653,0.7130382545248993,21
small_appliances,-0.2962774267029516,0.0855835792791699,0.2106895241370768,20
books_imported,-0.2384649837563716,0.0595664262789552,0.4004131068459335,14
musical_instruments,-0.238099147039468,0.0044431801659258,0.7800791925123918,20
christmas_supplies,-0.1943717644876961,0.0063623134407938,0.7690306758898185,16
fixed_telephony,-0.1227670107107989,0.0683567284926951,0.2522889221717427,21
cine_photo,0.0065303546014812,8.999043541679796e-06,0.9915343733526756,15
agro_industry_and_commerce,0.0116082942115641,0.000196458118405,0.9545845915479632,19
home_appliances,0.0123942732069594,5.111754747288977e-05,0.9768254658394756,19
la_cuisine,0.0153030704285682,0.0004951175316405,0.9546888517968024,9
art,0.0221964516928919,0.0002121907520715,0.9542525564863056,18
dvds_blu_ray,0.048329036291411,0.0060555566613206,0.7443509769573222,20
home_construction,0.0504943336642804,0.0003065168691662,0.9432878682720393,19
fashion_sport,0.0970420384680942,0.002395287062081,0.8680407580839912,14
home_comfort_2,0.1005109254771224,0.0126560298045917,0.7017886966975366,14
furniture_living_room,0.1241050948490505,0.0033693431298433,0.8079438807604945,20
party_supplies,0.1246396917500983,0.0247023253929599,0.6256745158451936,12
music,0.2203846549404743,0.1496849098633375,0.1717557818008731,14
market_place,0.2808067317765375,0.043505517223698,0.3642266567881212,21
pc_gamer,0.3322125688817116,0.0625000000000003,0.6328124999999969,6
fashion_underwear_beach,0.3451375168330304,0.1182793541157631,0.1376123901246496,20
flowers,0.3471399140912705,0.0369618365477134,0.620206012312366,9
construction_tools_safety,0.372706594040301,0.118010570277196,0.2291501789033462,14
small_appliances_home_oven_and_coffee,0.3992281815986089,0.1890569772985254,0.1814004904711421,11
fashio_female_clothing,0.4312892588646182,0.1298934483304414,0.1702803793995951,16
arts_and_craftmanship,0.4318212246832716,0.0979811821349021,0.54580581883335,6
audio,0.6380675069028978,0.1701480867846355,0.0707011735914806,20
home_appliances_2,0.7751704936932964,0.5499384646572089,0.0001824709533957,20
tablets_printing_image,0.8184758086091309,0.1292231567016991,0.156436036974281,17
fashion_shoes,0.839398515554519,0.1800086971695106,0.0552503312093472,21
food_drink,0.8892192320426598,0.4381383038950902,0.0027684190416365,18
telephony,1.010150740867811,0.2206507215218792,0.0316705904873569,21
furniture_decor,1.015262736153089,0.0471616591206193,0.3443529064078262,21
luggage_accessories,1.2455393523985574,0.1552555213404358,0.0856120143643128,20
unknown,1.253368829449922,0.2704390775207527,0.0156699559266242,21
baby,1.28318005497208,0.1562530656854304,0.0761345227420324,21
kitchen_dining_laundry_garden_furniture,1.3126640988685838,0.4040121625837204,0.0025960222512259,20
computers_accessories,1.5577440956238608,0.1104821663263062,0.1409771549695803,21
fashion_bags_accessories,2.263573566692244,0.7823137130867607,4.701913133930065e-08,22
construction_tools_construction,2.3440240394210408,0.419834533162267,0.0036394040736886,18
health_beauty,3.929839488518358,0.6137259502889446,1.619051470264644e-05,22
bed_bath_table,6.54094699103772,0.5016954017286557,0.0003266874847011,21
