order_month,total_orders,total_revenue,avg_item_price,total_freight
2016-09,1,134.97,44.99,8.49
2016-10,265,40325.11,128.83421725239617,6165.55
2016-12,1,10.9,10.9,8.72
2017-01,750,111798.36,122.45165388828039,15684.01
2017-02,1653,234223.4,126.062109795479,37015.92
2017-03,2546,359198.85,123.98993786675871,55132.1
2017-04,2303,340669.68,132.60789412222655,50142.72
2017-05,3546,489338.25,122.21235014985015,77513.15
2017-06,3135,421923.37,120.92959873889366,68127.0
2017-07,3872,481604.52,109.05899456521739,84694.56
2017-08,4193,554699.7,115.63470919324577,91132.66
2017-09,4150,607399.67,128.22454507071987,93677.82
2017-10,4478,648247.65,124.32827963176065,102869.36
2017-11,7289,987765.37,116.55048613569322,165598.83
2017-12,5513,726033.1900000001,117.34818005495394,117045.1
2018-01,7069,924645.0,115.04852556924226,153242.46
2018-02,6555,826437.13,109.9277906358074,139731.28
2018-03,7003,953356.25,118.91683297991767,167241.99
2018-04,6798,973534.09,124.38151143477705,159344.84
2018-05,6749,977544.6900000001,125.1657733674776,151229.83
2018-06,6099,856077.86,122.12237660485022,155900.43
2018-07,6159,867953.46,124.65222748815165,159853.82
2018-08,6351,838576.64,117.4148193783254,146915.0
